epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,6,,,33.390953063964844,0.19172470271587372,34.69585037231445,0.2140304297208786,36.38801956176758
0,6,29.56747055053711,,,,,,
1,13,,,30.55816078186035,0.17614705860614777,31.812664031982422,0.1939978152513504,34.52794647216797
1,13,27.768016815185547,,,,,,
2,20,,,28.482433319091797,0.16475574672222137,29.77704429626465,0.17959803342819214,32.878787994384766
2,20,26.08030128479004,,,,,,
3,27,,,26.563350677490234,0.1543828248977661,27.968090057373047,0.16654124855995178,31.358774185180664
3,27,24.955013275146484,,,,,,
4,34,,,24.861112594604492,0.14538386464118958,26.43013572692871,0.1552097052335739,29.981700897216797
4,34,23.511709213256836,,,,,,
5,41,,,23.41010093688965,0.13792924582958221,25.108787536621094,0.14575965702533722,28.735815048217773
5,41,22.614948272705078,,,,,,
6,48,,,22.163211822509766,0.13174282014369965,23.94273567199707,0.13780581951141357,27.58649253845215
6,48,21.680749893188477,,,,,,
7,49,,19.687524795532227,,,,,
7,55,,,21.157861709594727,0.12692038714885712,22.96327018737793,0.13150011003017426,26.557411193847656
7,55,20.7850284576416,,,,,,
8,62,,,20.362592697143555,0.12319184839725494,22.160484313964844,0.12657900154590607,25.650569915771484
8,62,20.246906280517578,,,,,,
9,69,,,19.75745964050293,0.12040995806455612,21.532052993774414,0.12287580221891403,24.855440139770508
9,69,19.571393966674805,,,,,,
