epoch,step,train_loss_step
0,49,22.674428939819336
0,99,21.29866600036621
0,149,19.20730209350586
0,199,20.476383209228516
0,249,31.714624404907227
0,299,22.279836654663086
0,349,23.961856842041016
0,399,27.4659366607666
0,449,16.40523910522461
0,499,26.7728271484375
0,549,27.06772804260254
0,599,19.28871726989746
0,649,22.685012817382812
0,699,20.216283798217773
0,749,11.635444641113281
0,799,15.77311897277832
0,849,8.011153221130371
0,899,10.487380981445312
0,949,9.071758270263672
0,999,7.057590007781982
0,1049,8.144482612609863
0,1099,8.82733154296875
0,1149,6.604528903961182
0,1199,7.459155559539795
0,1249,5.381130695343018
