epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,2,,1548.5975341796875,8.054885864257812,1548.6063232421875,1.6020876169204712,597.8025512695312
0,2,1482.67236328125,,,,,
1,5,,1309.3873291015625,6.810640811920166,1309.3963623046875,1.545902132987976,415.9275817871094
1,5,1191.5948486328125,,,,,
2,8,,1057.1861572265625,5.498851299285889,1057.196044921875,1.4664753675460815,318.9716491699219
2,8,946.44287109375,,,,,
3,11,,823.8817749023438,4.285372257232666,823.8937377929688,1.3634815216064453,238.40283203125
3,11,776.716552734375,,,,,
4,14,,615.3018188476562,3.2005157470703125,615.317138671875,1.2307099103927612,186.0467071533203
4,14,648.7821655273438,,,,,
5,17,,426.6915588378906,2.2195487022399902,426.7125244140625,1.0518734455108643,174.59947204589844
5,17,560.0701293945312,,,,,
6,20,,251.2041015625,1.3068475723266602,251.23951721191406,0.7901982665061951,162.5232391357422
6,20,481.7926940917969,,,,,
7,23,,81.4144058227539,0.4237847924232483,81.53439331054688,0.3494432866573334,148.37405395507812
7,23,422.00048828125,,,,,
8,26,,92.3301773071289,0.4798516631126404,92.4572982788086,0.6317240595817566,157.0299072265625
8,26,364.8440246582031,,,,,
9,29,,192.32142639160156,1.0,192.351806640625,2.0,170.88658142089844
9,29,318.5382995605469,,,,,
