epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,2,,1250.3397216796875,9.710509300231934,1250.990234375,1.6115186214447021,1085.19384765625
0,2,1405.7139892578125,,,,,
1,5,,1135.02783203125,8.846834182739258,1135.7264404296875,1.5780773162841797,903.7423095703125
1,5,1210.3646240234375,,,,,
2,8,,1038.2325439453125,8.121877670288086,1038.9825439453125,1.5451738834381104,742.1611938476562
2,8,1052.2318115234375,,,,,
3,11,,939.2822265625,7.3862481117248535,940.114501953125,1.5047070980072021,625.14697265625
3,11,916.0353393554688,,,,,
4,14,,829.8202514648438,6.577768802642822,830.7954711914062,1.4490251541137695,535.0601806640625
4,14,788.414306640625,,,,,
5,17,,713.8167724609375,5.723883152008057,715.028076171875,1.372570276260376,454.2865905761719
5,17,675.68994140625,,,,,
6,20,,607.2862548828125,4.940052509307861,608.8793334960938,1.2788493633270264,376.8553771972656
6,20,597.2059936523438,,,,,
7,23,,523.7838745117188,4.324617862701416,526.0362548828125,1.1814017295837402,309.4954833984375
7,23,511.2513732910156,,,,,
8,26,,461.1592712402344,3.8598380088806152,463.77618408203125,1.0935152769088745,259.5497741699219
8,26,441.1172180175781,,,,,
9,29,,411.8388977050781,3.485285520553589,415.6618347167969,1.0335932970046997,222.52261352539062
9,29,379.5950622558594,,,,,
