epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,6,,,20.593027114868164,0.12184860557317734,22.308732986450195,0.12732325494289398,39.613712310791016
0,6,36.29720687866211,,,,,,
1,13,,,19.97153091430664,0.11864820122718811,21.69034767150879,0.12341105192899704,37.61171340942383
1,13,34.13797378540039,,,,,,
2,20,,,19.611875534057617,0.11681602895259857,21.32767105102539,0.12116893380880356,35.96949005126953
2,20,32.065853118896484,,,,,,
3,27,,,19.429040908813477,0.11584719270467758,21.13912010192871,0.1200205460190773,34.55780792236328
3,27,30.311140060424805,,,,,,
4,34,,,19.431018829345703,0.1157318577170372,21.13421058654785,0.11999482661485672,33.28418731689453
4,34,28.791582107543945,,,,,,
5,41,,,19.573244094848633,0.11632349342107773,21.268573760986328,0.12084242701530457,32.1092643737793
5,41,27.494369506835938,,,,,,
6,48,,,19.892581939697266,0.11782511323690414,21.572433471679688,0.12280524522066116,31.018484115600586
6,48,25.974302291870117,,,,,,
7,49,,24.87272834777832,,,,,
7,55,,,19.920669555664062,0.11800506711006165,21.60162925720215,0.12299759685993195,29.963285446166992
7,55,24.78327751159668,,,,,,
8,62,,,20.255165100097656,0.11964806169271469,21.914474487304688,0.12508782744407654,28.969497680664062
8,62,23.852375030517578,,,,,,
9,69,,,20.494705200195312,0.12083837389945984,22.136211395263672,0.12659651041030884,28.034643173217773
9,69,22.79702377319336,,,,,,
