epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,2,,29.309505462646484,0.1939094364643097,30.146514892578125,0.21882480382919312,36.8087272644043
0,2,30.887975692749023,,,,,
1,5,,28.165637969970703,0.18635493516921997,29.073577880859375,0.20908354222774506,31.65476417541504
1,5,23.359270095825195,,,,,
2,8,,27.55202293395996,0.18237553536891937,28.508312225341797,0.2039000391960144,27.878448486328125
2,8,19.44111442565918,,,,,
3,11,,26.79950523376465,0.17751401662826538,27.807401657104492,0.19760218262672424,25.291540145874023
3,11,16.324094772338867,,,,,
4,14,,25.92972755432129,0.17199115455150604,26.969118118286133,0.1904468983411789,23.14470863342285
4,14,14.76382064819336,,,,,
5,17,,25.138526916503906,0.16715045273303986,26.16510581970215,0.1840798407793045,21.173261642456055
5,17,12.633135795593262,,,,,
6,20,,24.486539840698242,0.1632881462574005,25.478731155395508,0.178923100233078,19.45387077331543
6,20,11.086226463317871,,,,,
7,23,,23.93951416015625,0.16019085049629211,24.882823944091797,0.1746770143508911,17.97539520263672
7,23,9.492257118225098,,,,,
8,26,,23.457103729248047,0.15744511783123016,24.366657257080078,0.17094913125038147,16.6762638092041
8,26,8.532081604003906,,,,,
9,29,,22.932497024536133,0.15446653962135315,23.813764572143555,0.166923388838768,15.5360746383667
9,29,7.595707416534424,,,,,
