epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,2,,10.47928237915039,0.08199577778577805,11.988946914672852,0.0796421468257904,12.554200172424316
0,2,17.299983978271484,,,,,
1,5,,10.700104713439941,0.08417364954948425,12.25156307220459,0.08116380125284195,11.956438064575195
1,5,16.253448486328125,,,,,
2,8,,10.786402702331543,0.08501552045345306,12.361591339111328,0.08175528794527054,11.575898170471191
2,8,14.5752592086792,,,,,
3,11,,10.805874824523926,0.08521928638219833,12.388984680175781,0.08188483119010925,11.301041603088379
3,11,15.613215446472168,,,,,
4,14,,10.821532249450684,0.08538807928562164,12.411850929260254,0.08198848366737366,11.090567588806152
4,14,14.812286376953125,,,,,
5,17,,10.83056640625,0.08549431711435318,12.426405906677246,0.08204662799835205,10.92261791229248
5,17,15.093913078308105,,,,,
6,20,,10.81412124633789,0.0853608250617981,12.409194946289062,0.08192801475524902,10.78324031829834
6,20,14.479201316833496,,,,,
7,23,,10.780338287353516,0.0850628912448883,12.370184898376465,0.08168911188840866,10.658605575561523
7,23,14.732327461242676,,,,,
8,26,,10.735082626342773,0.08465571701526642,12.316831588745117,0.08137021213769913,10.547760009765625
8,26,14.739514350891113,,,,,
9,29,,10.68572998046875,0.08420761674642563,12.258549690246582,0.08102260529994965,10.442852020263672
9,29,14.220672607421875,,,,,
